"tahun","nama_provinsi","nama_kabupaten","nama_kecamatan","nama_kelurahan","jenis_kelamin","agama","jumlah","periode_data"
"2013","DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","PULO","Laki-laki","Islam","24","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","PETOGOGAN","Laki-laki","Islam","34","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","GANDARIA UTARA","Laki-laki","Islam","126","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","CIPETE UTARA","Laki-laki","Islam","82","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","PANCORAN","PANCORAN","Laki-laki","Islam","56","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","PANCORAN","KALIBATA","Laki-laki","Islam","91","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","PANCORAN","RAWA JATI","Laki-laki","Islam","35","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","PANCORAN","DUREN TIGA","Laki-laki","Islam","58","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","PANCORAN","PENGADEGAN","Laki-laki","Islam","45","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","PANCORAN","CIKOKO","Laki-laki","Islam","26","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","JAGAKARSA","Laki-laki","Islam","144","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","SRENGSENG SAWAH","Laki-laki","Islam","161","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","CIGANJUR","Laki-laki","Islam","62","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","LENTENG AGUNG","Laki-laki","Islam","152","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","TANJUNG BARAT","Laki-laki","Islam","81","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","CIPEDAK","Laki-laki","Islam","62","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","PESANGGRAHAN","PESANGGRAHAN","Laki-laki","Islam","76","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","PESANGGRAHAN","BINTARO","Laki-laki","Islam","102","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","PESANGGRAHAN","PETUKANGAN UTARA","Laki-laki","Islam","109","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","PESANGGRAHAN","PETUKANGAN SELATAN","Laki-laki","Islam","79","2013"
"2013","DKI JAKARTA","JAKARTA SELATAN","PESANGGRAHAN","ULUJAMI","Laki-laki","Islam","90","2013"
"2013","DKI JAKARTA","JAKARTA TIMUR","MATRAMAN","PISANGAN BARU","Laki-laki","Islam","119","2013"
"2013","DKI JAKARTA","JAKARTA TIMUR","MATRAMAN","UTAN KAYU UTARA","Laki-laki","Islam","100","2013"
"2013","DKI JAKARTA","JAKARTA TIMUR","MATRAMAN","KAYU MANIS","Laki-laki","Islam","96","2013"
"2013","DKI JAKARTA","JAKARTA TIMUR","MATRAMAN","PAL MERIAM","Laki-laki","Islam","24","2013"
"2013","DKI JAKARTA","JAKARTA TIMUR","MATRAMAN","KEBON MANGGIS","Laki-laki","Islam","67","2013"
"2013","DKI JAKARTA","JAKARTA TIMUR","MATRAMAN","UTAN KAYU SELATAN","Laki-laki","Islam","106","2013"
"2013","DKI JAKARTA","JAKARTA TIMUR","PULO GADUNG","PULO GADUNG","Laki-laki","Islam","106","2013"
"2013","DKI JAKARTA","JAKARTA TIMUR","PULO GADUNG","PISANGAN TIMUR","Laki-laki","Islam","136","2013"
"2013","DKI JAKARTA","JAKARTA TIMUR","PULO GADUNG","CIPINANG","Laki-laki","Islam","73","2013"
"2013","DKI JAKARTA","JAKARTA TIMUR","PULO GADUNG","JATINEGARA KAUM","Laki-laki","Islam","50","2013"
"2013","DKI JAKARTA","JAKARTA TIMUR","PULO GADUNG","RAWAMANGUN","Laki-laki","Islam","161","2013"
"2013","DKI JAKARTA","JAKARTA TIMUR","PULO GADUNG","KAYU PUTIH","Laki-laki","Islam","89","2013"
"2013","DKI JAKARTA","JAKARTA TIMUR","PULO GADUNG","JATI","Laki-laki","Islam","70","2013"
"2013","DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","KAMPUNG MELAYU","Laki-laki","Islam","65","2013"
"2013","DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","BIDARA CINA","Laki-laki","Islam","195","2013"
"2013","DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","BALI MESTER","Laki-laki","Islam","23","2013"
"2013","DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","RAWA BUNGA","Laki-laki","Islam","61","2013"
"2013","DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","CIPINANG CEMPEDAK","Laki-laki","Islam","104","2013"
"2013","DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","CIPINANG MUARA","Laki-laki","Islam","78","2013"
"2013","DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","CIPINANG BESAR SELATAN","Laki-laki","Islam","108","2013"
"2013","DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","CIPINANG BESAR UTARA","Laki-laki","Islam","132","2013"
"2013","DKI JAKARTA","JAKARTA TIMUR","KRAMAT JATI","KRAMAT JATI","Laki-laki","Islam","94","2013"
"2013","DKI JAKARTA","JAKARTA TIMUR","KRAMAT JATI","KAMPUNG TENGAH","Laki-laki","Islam","99","2013"
"2013","DKI JAKARTA","JAKARTA TIMUR","KRAMAT JATI","DUKUH","Laki-laki","Islam","52","2013"
"2013","DKI JAKARTA","KABUPATEN ADMINISTRASI KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU PANGGANG","Laki-laki","Islam","0","2013"
"2013","DKI JAKARTA","KABUPATEN ADMINISTRASI KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU KELAPA","Laki-laki","Islam","0","2013"
"2013","DKI JAKARTA","KABUPATEN ADMINISTRASI KEPULAUAN SERIBU","KEPULAUAN SERIBU UTARA","PULAU HARAPAN","Laki-laki","Islam","0","2013"
"2013","DKI JAKARTA","KABUPATEN ADMINISTRASI KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU UNTUNG JAWA","Laki-laki","Islam","0","2013"
"2013","DKI JAKARTA","KABUPATEN ADMINISTRASI KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU TIDUNG","Laki-laki","Islam","0","2013"
"2013","DKI JAKARTA","KABUPATEN ADMINISTRASI KEPULAUAN SERIBU","KEPULAUAN SERIBU SELATAN","PULAU PARI","Laki-laki","Islam","0","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","GAMBIR","GAMBIR","Laki-laki","Islam","5","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","GAMBIR","CIDENG","Laki-laki","Islam","25","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","GAMBIR","PETOJO UTARA","Laki-laki","Islam","38","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","GAMBIR","PETOJO SELATAN","Laki-laki","Islam","27","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","GAMBIR","KEBON KELAPA","Laki-laki","Islam","17","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","GAMBIR","DURI PULO","Laki-laki","Islam","22","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","PASAR BARU","Laki-laki","Islam","22","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","KARANG ANYAR","Laki-laki","Islam","29","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","KARTINI","Laki-laki","Islam","22","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","GUNUNG SAHARI UTARA","Laki-laki","Islam","12","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","SAWAH BESAR","MANGGA DUA SELATAN","Laki-laki","Islam","18","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","KEMAYORAN","Laki-laki","Islam","45","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","KEBON KOSONG","Laki-laki","Islam","16","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","HARAPAN MULIA","Laki-laki","Islam","48","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","SERDANG","Laki-laki","Islam","31","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","GUNUNG SAHARI SELATAN","Laki-laki","Islam","28","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","CEMPAKA BARU","Laki-laki","Islam","71","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","SUMUR BATU","Laki-laki","Islam","24","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","KEMAYORAN","UTAN PANJANG","Laki-laki","Islam","1","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","SENEN","SENEN","Laki-laki","Islam","15","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","SENEN","KENARI","Laki-laki","Islam","33","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","SENEN","PASEBAN","Laki-laki","Islam","141","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","SENEN","KRAMAT","Laki-laki","Islam","112","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","SENEN","KWITANG","Laki-laki","Islam","58","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","SENEN","BUNGUR","Laki-laki","Islam","32","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","CEMPAKA PUTIH","CEMPAKA PUTIH TIMUR","Laki-laki","Islam","55","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","CEMPAKA PUTIH","CEMPAKA PUTIH BARAT","Laki-laki","Islam","97","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","CEMPAKA PUTIH","RAWASARI","Laki-laki","Islam","65","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","MENTENG","MENTENG","Laki-laki","Islam","102","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","MENTENG","PEGANGSAAN","Laki-laki","Islam","83","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","MENTENG","CIKINI","Laki-laki","Islam","34","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","MENTENG","GONDANGDIA","Laki-laki","Islam","6","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","MENTENG","KEBON SIRIH","Laki-laki","Islam","45","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","GELORA","Laki-laki","Islam","10","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","BENDUNGAN HILIR","Laki-laki","Islam","51","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KARET TENGSIN","Laki-laki","Islam","61","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","PETAMBURAN","Laki-laki","Islam","86","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KEBON MELATI","Laki-laki","Islam","73","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KEBON KACANG","Laki-laki","Islam","53","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KAMPUNG BALI","Laki-laki","Islam","41","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","JOHAR BARU","Laki-laki","Islam","119","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","KAMPUNG RAWA","Laki-laki","Islam","70","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","GALUR","Laki-laki","Islam","43","2013"
"2013","DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","TANAH TINGGI","Laki-laki","Islam","136","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PENJARINGAN","Laki-laki","Islam","36","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","KAMAL MUARA","Laki-laki","Islam","24","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","KAPUK MUARA","Laki-laki","Islam","20","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PEJAGALAN","Laki-laki","Islam","38","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PLUIT","Laki-laki","Islam","20","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","TANJUNG PRIOK","Laki-laki","Islam","154","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","SUNTER JAYA","Laki-laki","Islam","110","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","PAPANGGO","Laki-laki","Islam","87","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","SUNGAI BAMBU","Laki-laki","Islam","69","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","KEBON BAWANG","Laki-laki","Islam","151","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","SUNTER AGUNG","Laki-laki","Islam","63","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","WARAKAS","Laki-laki","Islam","133","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","KOJA","KOJA","Laki-laki","Islam","106","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","KOJA","TUGU UTARA","Laki-laki","Islam","191","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","KOJA","LAGOA","Laki-laki","Islam","196","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","KOJA","RAWA BADAK UTARA","Laki-laki","Islam","107","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","KOJA","TUGU SELATAN","Laki-laki","Islam","76","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","KOJA","RAWA BADAK SELATAN","Laki-laki","Islam","94","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","CILINCING","CILINCING","Laki-laki","Islam","138","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","CILINCING","SUKAPURA","Laki-laki","Islam","60","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","CILINCING","MARUNDA","Laki-laki","Islam","70","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","CILINCING","KALI BARU","Laki-laki","Islam","196","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","CILINCING","SEMPER TIMUR","Laki-laki","Islam","123","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","CILINCING","ROROTAN","Laki-laki","Islam","114","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","CILINCING","SEMPER BARAT","Laki-laki","Islam","207","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","PADEMANGAN","PADEMANGAN TIMUR","Laki-laki","Islam","36","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","PADEMANGAN","PADEMANGAN BARAT","Laki-laki","Islam","68","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","PADEMANGAN","ANCOL","Laki-laki","Islam","49","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","KELAPA GADING","KELAPA GADING TIMUR","Laki-laki","Islam","30","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","KELAPA GADING","PEGANGSAAN DUA","Laki-laki","Islam","54","2013"
"2013","DKI JAKARTA","JAKARTA UTARA","KELAPA GADING","KELAPA GADING BARAT","Laki-laki","Islam","63","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","CENGKARENG","CENGKARENG BARAT","Laki-laki","Islam","101","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","CENGKARENG","DURI KOSAMBI","Laki-laki","Islam","87","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","CENGKARENG","RAWA BUAYA","Laki-laki","Islam","58","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","CENGKARENG","KEDAUNG KALI ANGKE","Laki-laki","Islam","50","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","CENGKARENG","KAPUK","Laki-laki","Islam","100","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","CENGKARENG","CENGKARENG TIMUR","Laki-laki","Islam","143","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","GROGOL","Laki-laki","Islam","23","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","TANJUNG DUREN UTARA","Laki-laki","Islam","26","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","TOMANG","Laki-laki","Islam","55","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","JELAMBAR","Laki-laki","Islam","35","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","TANJUNG DUREN SELATAN","Laki-laki","Islam","34","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","JELAMBAR BARU","Laki-laki","Islam","42","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","WIJAYA KUSUMA","Laki-laki","Islam","22","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","TAMAN SARI","Laki-laki","Islam","15","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","KRUKUT","Laki-laki","Islam","25","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","MAPHAR","Laki-laki","Islam","33","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","TANGKI","Laki-laki","Islam","13","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","MANGGA BESAR","Laki-laki","Islam","13","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","KEAGUNGAN","Laki-laki","Islam","24","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","GLODOK","Laki-laki","Islam","8","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","PINANGSIA","Laki-laki","Islam","19","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","TAMBORA","TAMBORA","Laki-laki","Islam","14","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","TAMBORA","KALI ANYAR","Laki-laki","Islam","29","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","TAMBORA","DURI UTARA","Laki-laki","Islam","24","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","TAMBORA","TANAH SEREAL","Laki-laki","Islam","32","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","TAMBORA","KERENDANG","Laki-laki","Islam","21","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","TAMBORA","JEMBATAN BESI","Laki-laki","Islam","35","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","TAMBORA","ANGKE","Laki-laki","Islam","32","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","TAMBORA","JEMBATAN LIMA","Laki-laki","Islam","23","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","TAMBORA","PEKOJAN","Laki-laki","Islam","29","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","TAMBORA","ROA MALAKA","Laki-laki","Islam","2","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","TAMBORA","DURI SELATAN","Laki-laki","Islam","32","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","KEBON JERUK","Laki-laki","Islam","97","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","SUKABUMI UTARA","Laki-laki","Islam","76","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","SUKABUMI SELATAN","Laki-laki","Islam","93","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","KELAPA DUA","Laki-laki","Islam","52","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","DURI KEPA","Laki-laki","Islam","187","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","KEDOYA UTARA","Laki-laki","Islam","50","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","KEDOYA SELATAN","Laki-laki","Islam","44","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","KALI DERES","KALIDERES","Laki-laki","Islam","83","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","KALI DERES","SEMANAN","Laki-laki","Islam","128","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","KALI DERES","TEGAL ALUR","Laki-laki","Islam","131","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","KALI DERES","KAMAL","Laki-laki","Islam","26","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","KALI DERES","PEGADUNGAN","Laki-laki","Islam","87","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","PALMERAH","PALMERAH","Laki-laki","Islam","111","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","PALMERAH","SLIPI","Laki-laki","Islam","29","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","PALMERAH","KOTA BAMBU UTARA","Laki-laki","Islam","76","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","PALMERAH","JATI PULO","Laki-laki","Islam","79","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","PALMERAH","KEMANGGISAN","Laki-laki","Islam","49","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","PALMERAH","KOTA BAMBU SELATAN","Laki-laki","Islam","46","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","KEMBANGAN UTARA","Laki-laki","Islam","83","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","MERUYA UTARA","Laki-laki","Islam","42","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","MERUYA SELATAN","Laki-laki","Islam","112","2013"
"2013","DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","SRENGSENG","Laki-laki","Islam","75","2013"
